Cell_ID,Cell_class_id,Cell_class,Cell_class_name
d2fb3611-a928-460e-9829-df47f0f6e684,4,Inhibitory,Inhibitory
9d127719-b455-40f1-903b-a699c7b75d64,0,Astrocyte,Astrocyte
706f3d48-c3e5-414d-9adc-73fe70fd789e,4,Inhibitory,Inhibitory
9f1b42b7-c9b3-4be6-a77b-8678f2375f51,0,Astrocyte,Astrocyte
9581777d-ed10-49cc-a7e0-4e8d8e2d55ae,3,Excitatory,Excitatory
1e20806c-b66f-4c8f-9e5c-c82a3e81f670,4,Inhibitory,Inhibitory
8a4916ea-bb2a-4a31-969b-9f4586efd8db,7,OD Mature 1,OD Mature
9d64ec91-6ff6-4a9d-ac79-992da1710dcf,4,Inhibitory,Inhibitory
94ba3ac7-98ab-4a2a-bd93-78c0d71092db,3,Excitatory,Excitatory
6a880b2b-aca0-4d62-ae56-574ade72e6b9,3,Excitatory,Excitatory
633c4c83-96ef-49aa-b33f-2fd426d2b185,3,Excitatory,Excitatory
4b399cdb-6a88-4907-8ef0-7db1b4ba4e2d,3,Excitatory,Excitatory
d32015c9-b315-477d-905e-ea947d6e5379,7,OD Mature 3,OD Mature
0313ae68-0ee5-4625-98f0-b1f03fee5a57,6,OD Immature 1,OD Immature
e28d9b67-100e-47ac-9485-912aa3a0263e,3,Excitatory,Excitatory
d6d31359-5865-4a18-9dfa-8f9149eb8b1f,4,Inhibitory,Inhibitory
4feeaa48-76c7-4a71-9758-274a5fba207e,1,Endothelial 2,Endothelial
270cd9ee-6d97-445b-978a-6ff68acd5861,1,Endothelial 3,Endothelial
4bb7f6b7-1a7b-4a68-822c-fdadff71cb3e,1,Endothelial 1,Endothelial
c0a4c1e3-5eef-48b5-a5a8-fff44fa41a92,3,Excitatory,Excitatory
47e41531-eed6-4ef0-bd41-54a179657758,4,Inhibitory,Inhibitory
f14adf27-eeb2-4e70-a499-50f5b9b471bb,4,Inhibitory,Inhibitory
daf0e93e-0632-4d87-9067-2245f703f2b4,1,Endothelial 1,Endothelial
1c08465d-76a1-4f70-842e-0a914184ba02,7,OD Mature 2,OD Mature
901c4ed0-f214-4340-a29f-bb2f71e33d12,4,Inhibitory,Inhibitory
e6331793-7bc5-4909-b2c6-e1819b9c6f2b,7,OD Mature 2,OD Mature
e9cfc749-ffdd-4421-8e8e-d7757131b1d3,0,Astrocyte,Astrocyte
95a98533-0f87-41f0-a9e5-9e6271c5b76b,3,Excitatory,Excitatory
111b93d9-f2e3-4e69-92e1-8cd2cf691b2a,4,Inhibitory,Inhibitory
9974f378-dcdf-47da-aba8-fd78ec4dfc36,3,Excitatory,Excitatory
c0c20225-3677-45f2-993b-aa4550a72c89,4,Inhibitory,Inhibitory
b51e9119-2e0f-466a-8e31-c483867daa5a,3,Excitatory,Excitatory
a1b24cf7-2c48-4ad7-b940-b565eb6a8bbd,7,OD Mature 2,OD Mature
3b8abf3d-f4e0-471f-841e-24e4a1e9fd16,7,OD Mature 2,OD Mature
0d507371-200a-48d8-b9fd-3f5bf40f1114,7,OD Mature 2,OD Mature
39f4c490-5dc9-4999-9f02-fe1e483e0632,1,Endothelial 3,Endothelial
7e6b6dad-5f07-4385-b00d-5854529d252d,7,OD Mature 2,OD Mature
6c5c4836-658b-4e10-94e5-cb716a9baa28,7,OD Mature 2,OD Mature
1587f0b5-9934-4516-a60a-377b3cb6bff1,7,OD Mature 2,OD Mature
